title,description,url,category
"Apple and OpenAI to announce updates, as AI arms race intensifies - Salon",Apple and OpenAI to announce updates as AI arms race intensifies,https://www.salon.com/2024/05/11/apple-and-openai-to-announce-updates-as-ai-arms-race-intensifies/,technology
"After being the toast of the NBA, Timberwolves were toast against Denver in Game 3 - The Athletic",The Wolves needed to be humbled and the Nuggets needed to wake up. Both happened in Friday's game.,https://theathletic.com/5485552/2024/05/11/timberwolves-nuggets-game-3-playoffs/,general
Knicks' Jalen Brunson says hunting for a foul in closing seconds of Game 3 loss was a 'terrible decision' - CBS Sports,Brunson and the Knicks came up short against the Pacers in Game 3,https://www.cbssports.com/nba/news/knicks-jalen-brunson-says-hunting-for-a-foul-in-closing-seconds-of-game-3-loss-was-a-terrible-decision/,technology
"Shock Miss USA resignations are just the tip of the iceberg, insiders say - CNN",Back-to-back resignations by Miss USA and Miss Teen USA 2023 have pulled back the curtain on a pageant organization in disarray.,https://www.cnn.com/2024/05/11/style/miss-usa-pageant-organization-allegations/index.html,technology
Massillon Police investigating fatal shooting at Regal Cinemas; suspect in custody - News 5 Cleveland WEWS,"One man is dead, and another person is in custody following a fatal shooting late Friday night at the Regal Cinemas in Massillon.",https://www.news5cleveland.com/news/local-news/massillon-police-investigating-fatal-shooting-at-regal-cinemas-suspect-in-custody,general
Live storm updates: Power struggle after likely Tallahassee tornadoes - Tallahassee Democrat,"More than 80,000 electric customers in Leon and nearby counties were without power Saturday, a day after reported tornadoes pummeled North Florida.",https://www.tallahassee.com/story/news/2024/05/11/live-storm-updates-power-struggle-after-likely-tallahassee-tornadoes-saturday-florida-damage/73652897007/,general
UN general assembly calls on Security Council to admit Palestine as member - BBC.com,"Passing the resolution is seen as symbolic, as the US is likely to use its veto in the Security Council.",https://www.bbc.com/news/world-middle-east-68983650,general
Wall Street Is Sending a Bullish Signal for S&P 500 Earnings - Bloomberg,"Analysts are ratcheting up earnings forecasts for the current quarter at the swiftest pace in two years, suggesting that the worst of Corporate America’s profit slump may be firmly in the rear-view mirror.",https://www.bloomberg.com/news/articles/2024-05-11/wall-street-is-sending-a-bullish-signal-for-s-p-500-earnings,general
"Sweetgreen, Chipotle and other fast-casual chains are bucking the consumer slowdown - CNBC","Chipotle Mexican Grill, Wingstop and Sweetgreen all beat Wall Street's estimates for their quarterly same-store sales growth.",https://www.cnbc.com/2024/05/11/sweetgreen-chipotle-and-wingstop-arent-seeing-a-consumer-slowdown.html,general
"Nikki Haley keeps racking up votes in final stretch of the GOP primary, and Donald Trump keeps ignoring them - POLITICO",,https://www.politico.com/news/2024/05/11/nikki-haley-voters-00157455,general
Eurovision Song Contest: Dutch contestant Joost Klein disqualified - BBC.com,"The singer, Joost Klein, had been among the favourites to win the contest in Malmö, Sweden.",https://www.bbc.com/news/entertainment-arts-68993726,general
"More than 150 killed in Afghanistan flash floods, government says - Al Jazeera English",World Food Programme says more than 300 people have died in the worst-hit northern province of Baghlan.,https://www.aljazeera.com/news/2024/5/11/more-than-150-killed-in-afghanistan-flash-floods-government-says,general
Organizing massive campus protests required logistical savvy. Here's how students pulled it off. - ABC News,"Pro-Palestinian protests have been launched at Harvard, Yale, Columbia and more.",https://abcnews.go.com/US/organizing-massive-campus-protests-required-logistical-savvy-students/story?id=110021775,general
Blinken report says it's impossible to verify Israel broke weapons law in Gaza - Axios,,https://www.axios.com/2024/05/10/israel-gaza-weapons-broke-law-blinken,general
[Removed],[Removed],https://removed.com,general
"What to Know About Oxbridge Academy, Where Barron Trump Is Graduating From - The Daily Beast","The school was founded by a member of the Koch family, but probably not the two you’re thinking.",https://www.thedailybeast.com/what-to-know-about-oxbridge-academy-where-barron-trump-is-graduating-from,general
"Horoscope for Saturday, May 11, 2024 - Chicago Sun-Times",,https://chicago.suntimes.com/horoscopes/2024/05/11/horoscopes-today-saturday-may-11-2024,general
"Suns hiring another title-winning coach in Mike Budenholzer to replace Frank Vogel, per reports - USA TODAY","Mike Budenholzer, who won a championship leading the Bucks, will be the next head coach of the Suns.",https://www.usatoday.com/story/sports/nba/2024/05/10/phoenix-suns-hire-mike-budenholzer-coach/73635782007/,weather
"Sam Rubin, Longtime Entertainment Anchor And KTLA Journalist, Dies At 64 - HuffPost",Rubin joined KTLA's morning news team in 1991.,https://www.huffpost.com/entry/sam-rubin-longtime-entertainment-anchor-and-ktla-journalist-dies-at-64_n_663ed618e4b0f83029a013b4,general
"Strong solar storm hits Earth, could disrupt communications and produce northern lights in US - The Associated Press",An unusually strong solar storm hitting Earth could produce northern lights in the U.S. and potentially disrupt power and communications this weekend. The National Oceanic and Atmospheric Administration issued a rare severe geomagnetic storm warning Friday. T…,https://apnews.com/article/solar-storm-flares-eruption-sun-fc23251025efc2d20dc128dc0b6a7c68,weather
